name,domain,input_type,output_type,difficulty,tags,can_invert
eulerian_paths,combinatorics,integer,count,4,combinatorics|graph|eulerian,False
evaluate_at_point,other,any,integer,1,operational|arithmetic|computation,False
evaluate_at_zero,algebra,list,number,1,algebra|polynomials|evaluation,False
evaluate_function_composition,algebra,integer,integer,2,algebra|functions|composition,False
excircle_properties,geometry,triangle,geometric_value,3,geometry|triangle|excircle,False
expand,algebra,any,any,2,operational|algebra|sympy,False
expand_difference,algebra,integer,expression,1,algebra|expansion|squares,False
expand_square_sum,algebra,integer,expression,1,algebra|expansion|squares,False
exponent_comparison,analysis,none,number,2,analysis|exponentials|comparison,False
exponential_equation,algebra,integer,integer,3,algebra|exponential|equations,False
express_in_form,algebra,none,integer,2,algebra|simplification|forms,False
extract_answer,other,any,integer,1,operational|output|finalization,False
extract_coefficients,algebra,any,integer,2,operational|algebra|extraction,False
extract_m_n,algebra,linear_expression,tuple,1,algebra|extraction|linear,False
extract_m_n_sum,algebra,linear_expression,integer,1,algebra|extraction|linear,False
extract_numerator_denominator,other,tuple,tuple,1,arithmetic|fractions|basic,False
extract_pq_from_golden_power,number_theory,integer,integer,3,number_theory|sequences|golden_ratio,False
extract_result,other,any,integer,1,operational|output|finalization,False
extract_sqrt_abc_parameters,algebra,sqrt_expression,tuple,2,algebra|extraction|radicals,False
extremal_argument,other,any,dict,3,operational|proof|logic,False
extremal_construction,other,integer,integer,4,reasoning|proof|extremal|construction,False
factor,algebra,any,any,2,operational|algebra|sympy,False
factor_common_term,number_theory,list,integer,2,number_theory|gcd|factoring,False
factor_integer,number_theory,integer,dict,2,number_theory|factorization|primes,False
factorial,combinatorics,integer,integer,1,arithmetic|combinatorics,False
factorial_base_to_decimal,combinatorics,list,integer,2,combinatorics|base_conversion|factorial,True
factorial_tower,number_theory,none,integer,4,number_theory|factorial|iteration,False
factoring,algebra,integer,integer,3,algebra|factoring,False
fermat_condition_primes,number_theory,integer,integer,3,number_theory|fermat_numbers|special_forms,False
fermat_little,number_theory,none,integer,4,number_theory|fermat|modular_exponentiation|deep_insight,False
fermat_number,number_theory,integer,integer,2,number_theory|sequences|fermat|exponential,True
fermat_reduce,number_theory,integer,integer,2,number_theory|modular|fermat,True
fermat_two_squares,number_theory,integer,integer,3,number_theory|sums_of_squares,True
fibonacci,number_theory,integer,integer,1,number_theory|sequences|fibonacci,True
fibonacci_divisibility,other,none,integer,4,fibonacci|gcd|divisibility|deep_insight|sequences,False
fibonacci_gcd,number_theory,integer,integer,2,number_theory|sequences|fibonacci|gcd,True
fibonacci_identity,algebra,integer,integer,4,algebra|fibonacci|identities|sequences,False
fibonacci_inverse,number_theory,integer,integer,2,number_theory|sequences|fibonacci|inverse,False
figure_eight_topology,algebra,string,integer,3,topology|algebraic_topology|graph_theory,False
filter_by_prime_factor_count,number_theory,integer,integer,2,number_theory|primes|counting,False
filter_even,other,list,list,1,arithmetic|parity|filtering,False
filter_odd,other,list,list,1,arithmetic|parity|filtering,False
filter_primes,number_theory,list,list,2,number_theory|primes|filtering,False
find_modular_inverse,number_theory,integer,integer,2,number_theory|modular,True
floor,other,number,integer,1,arithmetic|rounding,False
floor_cbrt,other,integer,integer,2,arithmetic|cbrt|floor,False
floor_div,algebra,integer,integer,1,algebra|floor|division,False
floor_div_inverse_a,algebra,integer,sequence,3,algebra|floor|inverse,False
floor_division,other,integer,integer,1,arithmetic|division,False
floor_log2,other,integer,integer,2,arithmetic|logarithms|floor,False
floor_sqrt,other,integer,integer,1,arithmetic|sqrt|floor,False
floor_sum,algebra,integer,integer,4,algebra|floor|sum,False
floor_sum_inverse_n,algebra,integer,integer,5,algebra|floor|inverse,False
floor_system_solutions,combinatorics,none,integer,5,floor_function|counting|deep_insight|factorization,False
function_supremum,analysis,list,number,2,analysis|supremum|optimization,False
functional_eq_add_mult,algebra,integer,integer,5,algebra|functional_equations|exponential,False
functional_eq_cauchy,algebra,integer,integer,4,algebra|functional_equations|cauchy,False
functional_eq_multiplicative,algebra,integer,integer,5,algebra|functional_equations|multiplicative,False
